Lineage	Expression
HLA_A*01	0.57
HLA_A*02	-0.20
HLA_A*03	-0.84
HLA_A*11	0.00
HLA_A*23	0.25
HLA_A*24	0.89
HLA_A*25	-0.18
HLA_A*26	0.15
HLA_A*29	0.35
HLA_A*30	0.28
HLA_A*31	-0.74
HLA_A*32	-0.85
HLA_A*33	-0.90
HLA_A*34	0.34
HLA_A*36	0.21
HLA_A*43	-0.26
HLA_A*66	0.17
HLA_A*68	0.32
HLA_A*69	0.46
HLA_A*74	-1.09
HLA_A*80	-0.46
HLA_C*01	254
HLA_C*02	167
HLA_C*03	116
HLA_C*04	201
HLA_C*05	154
HLA_C*06	226
HLA_C*07	114
HLA_C*08	176
HLA_C*12	193
HLA_C*14	294
HLA_C*15	223
HLA_C*16	181
HLA_C*17	115
HLA_C*18	239
